INFO 2025-12-17 10:58:37,495 autoreload 18224 19652 Watching for file changes with StatReloader
INFO 2025-12-17 11:01:01,835 autoreload 1884 20224 Watching for file changes with StatReloader
INFO 2025-12-17 11:02:06,500 autoreload 23912 22116 Watching for file changes with StatReloader
WARNING 2025-12-17 11:02:18,325 log 23912 18108 Not Found: /
WARNING 2025-12-17 11:02:18,325 log 23912 18108 "GET / HTTP/1.1" 404 2451
WARNING 2025-12-17 11:03:09,153 log 23912 18108 Forbidden: /api/subscriptions/
WARNING 2025-12-17 11:03:09,154 log 23912 18108 "GET /api/subscriptions/ HTTP/1.1" 403 5070
INFO 2025-12-17 11:03:09,454 log 23912 21992 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-12-17 11:03:09,454 log 23912 11272 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-12-17 11:03:09,455 log 23912 20816 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2025-12-17 11:03:09,459 log 23912 18108 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-12-17 11:03:09,472 log 23912 9800 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-12-17 11:03:09,518 log 23912 18108 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-12-17 11:03:09,522 log 23912 9800 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-12-17 11:03:09,525 log 23912 21992 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-12-17 11:03:09,528 log 23912 19968 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-12-17 11:03:09,541 log 23912 20816 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-12-17 11:03:09,551 log 23912 11272 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
WARNING 2025-12-17 12:54:41,144 log 23912 12256 Forbidden: /api/plans/
WARNING 2025-12-17 12:54:41,145 log 23912 12256 "GET /api/plans/ HTTP/1.1" 403 82
INFO 2025-12-17 12:57:04,102 autoreload 9108 20124 Watching for file changes with StatReloader
INFO 2025-12-17 12:57:08,362 log 9108 19552 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-12-17 12:57:08,554 log 9108 19552 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4282
INFO 2025-12-17 12:57:08,737 log 9108 9260 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2025-12-17 12:57:08,737 log 9108 19552 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2025-12-17 12:57:08,755 log 9108 23912 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-12-17 12:57:08,776 log 9108 9260 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-12-17 12:57:08,778 log 9108 23912 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-12-17 12:57:08,778 log 9108 19552 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16194
INFO 2025-12-17 12:57:09,008 log 9108 19552 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-12-17 12:57:22,424 log 9108 19552 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-12-17 12:57:22,471 log 9108 19552 "GET /admin/ HTTP/1.1" 200 6482
INFO 2025-12-17 12:57:22,517 log 9108 19552 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-12-17 12:57:22,559 log 9108 19552 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2025-12-17 12:57:22,560 log 9108 23912 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2025-12-17 12:57:52,798 log 9108 23912 "GET /admin/auth/group/add/ HTTP/1.1" 200 14664
INFO 2025-12-17 12:57:52,848 log 9108 23912 "GET /static/admin/css/forms.css HTTP/1.1" 200 8844
INFO 2025-12-17 12:57:52,859 log 9108 21864 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-12-17 12:57:52,876 log 9108 14924 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-12-17 12:57:52,878 log 9108 21864 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2025-12-17 12:57:52,882 log 9108 23912 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-12-17 12:57:52,882 log 9108 3652 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-12-17 12:57:52,891 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 12:57:52,912 log 9108 21864 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 16428
INFO 2025-12-17 12:57:52,913 log 9108 23912 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-12-17 12:57:52,914 log 9108 14924 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-12-17 12:57:52,915 log 9108 3652 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-12-17 12:57:52,937 log 9108 9260 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-12-17 12:57:52,959 log 9108 21864 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-12-17 12:57:52,979 log 9108 21864 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-12-17 12:57:53,082 log 9108 19552 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-12-17 12:57:53,235 log 9108 19552 "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2025-12-17 12:57:53,237 log 9108 21864 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 2387
INFO 2025-12-17 12:58:01,117 log 9108 21864 "GET /admin/ HTTP/1.1" 200 6482
WARNING 2025-12-17 12:59:03,729 log 9108 3676 Forbidden: /api/plans/
WARNING 2025-12-17 12:59:03,730 log 9108 3676 "GET /api/plans/ HTTP/1.1" 403 82
WARNING 2025-12-17 12:59:17,386 log 9108 3676 Forbidden: /api/plans/
WARNING 2025-12-17 12:59:17,387 log 9108 3676 "GET /api/plans/ HTTP/1.1" 403 82
INFO 2025-12-17 12:59:27,769 log 9108 21864 "GET /admin/auth/user/add/ HTTP/1.1" 200 13445
INFO 2025-12-17 12:59:27,839 log 9108 19552 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-12-17 12:59:27,890 log 9108 21864 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 12:59:30,126 log 9108 21864 "GET /admin/auth/group/add/ HTTP/1.1" 200 14664
INFO 2025-12-17 12:59:30,159 log 9108 21864 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 12:59:53,302 log 9108 21864 "POST /admin/auth/group/add/ HTTP/1.1" 302 0
INFO 2025-12-17 12:59:53,415 log 9108 21864 "GET /admin/auth/group/ HTTP/1.1" 200 10273
INFO 2025-12-17 12:59:53,451 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 12:59:53,457 log 9108 21864 "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2025-12-17 12:59:53,614 log 9108 19552 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-12-17 12:59:53,700 log 9108 21864 "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
INFO 2025-12-17 12:59:53,795 log 9108 19552 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
WARNING 2025-12-17 12:59:59,517 log 9108 3676 Forbidden: /api/plans/
WARNING 2025-12-17 12:59:59,517 log 9108 3676 "GET /api/plans/ HTTP/1.1" 403 82
WARNING 2025-12-17 13:00:00,590 log 9108 3676 Forbidden: /api/plans/
WARNING 2025-12-17 13:00:00,590 log 9108 3676 "GET /api/plans/ HTTP/1.1" 403 82
WARNING 2025-12-17 13:01:00,974 log 9108 19552 Not Found: /
WARNING 2025-12-17 13:01:00,974 log 9108 19552 "GET / HTTP/1.1" 404 2451
INFO 2025-12-17 13:01:54,526 log 9108 19552 "GET /admin/ HTTP/1.1" 200 6860
INFO 2025-12-17 13:01:58,653 log 9108 19552 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 15295
INFO 2025-12-17 13:01:58,688 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:02:06,211 log 9108 19552 "GET /admin/auth/group/1/history/ HTTP/1.1" 200 7278
INFO 2025-12-17 13:02:08,471 log 9108 19552 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 15295
INFO 2025-12-17 13:02:11,035 log 9108 19552 "GET /admin/auth/user/add/ HTTP/1.1" 200 13445
INFO 2025-12-17 13:02:11,066 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:02:25,787 log 9108 19552 "POST /admin/auth/user/add/ HTTP/1.1" 200 14197
INFO 2025-12-17 13:02:25,810 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:02:46,372 log 9108 19552 "POST /admin/auth/user/add/ HTTP/1.1" 200 13959
INFO 2025-12-17 13:02:46,399 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:03:05,157 log 9108 19552 "POST /admin/auth/user/add/ HTTP/1.1" 200 13959
INFO 2025-12-17 13:03:05,186 log 9108 19552 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:03:24,347 log 9108 18936 "POST /admin/auth/user/add/ HTTP/1.1" 200 14018
INFO 2025-12-17 13:03:24,373 log 9108 18936 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:03:34,861 log 9108 18936 "POST /admin/auth/user/add/ HTTP/1.1" 200 13766
INFO 2025-12-17 13:03:34,881 log 9108 18936 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:03:51,367 log 9108 18936 "GET /admin/password_change/ HTTP/1.1" 200 8281
INFO 2025-12-17 13:03:56,683 log 9108 18936 "POST /admin/auth/user/add/ HTTP/1.1" 200 14018
INFO 2025-12-17 13:03:56,726 log 9108 18936 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:04:30,818 log 9108 18936 "GET /admin/auth/user/ HTTP/1.1" 200 13633
INFO 2025-12-17 13:04:30,859 log 9108 18936 "GET /admin/jsi18n/ HTTP/1.1" 200 16820
INFO 2025-12-17 13:04:30,873 log 9108 23464 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2025-12-17 13:04:30,895 log 9108 23464 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
